actual/predicted,above_center,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,2,2,0,3,1,6,1,3,2,1,0,2,1,1,0,0,2,0,6,1,2,0
above_left,0,7,1,4,0,3,1,3,1,1,7,2,2,1,0,0,0,0,1,1,5,0,1,0
above_outside,1,1,0,3,0,1,1,9,0,2,2,1,3,4,0,2,0,0,0,0,4,1,1,0
above_right,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,3,1,0,1,0,0,0,1,0
below_center,6,5,5,25,3,17,9,35,8,5,23,5,12,8,4,21,10,5,5,1,21,7,13,2
below_inside,2,0,0,20,2,18,2,6,3,0,14,2,2,7,1,19,2,0,4,0,20,1,0,4
below_left,10,4,2,20,1,17,7,29,3,5,12,2,7,5,2,16,2,8,2,3,7,5,6,0
below_outside,2,4,0,6,1,3,7,21,1,1,5,2,2,1,1,4,1,3,2,1,4,2,2,0
below_right,11,9,3,10,4,19,5,13,4,9,21,2,4,7,1,14,7,1,5,2,15,5,3,6
high_center,6,1,0,7,4,3,3,7,1,5,13,1,2,6,0,7,3,5,1,3,9,3,0,2
high_inside,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0
high_left,5,3,0,11,1,1,5,8,1,5,9,4,5,8,1,8,3,2,2,2,8,2,0,3
high_outside,3,5,1,4,0,7,1,12,1,1,1,2,7,0,1,4,2,1,3,1,7,0,3,2
high_right,3,3,0,5,0,2,1,9,1,3,3,2,0,2,0,3,0,0,0,1,2,1,1,2
low_center,4,3,4,4,5,11,6,17,5,5,13,3,7,8,4,9,4,4,2,4,11,1,5,8
low_inside,1,0,0,5,0,5,1,4,2,1,3,0,0,4,0,2,0,0,0,1,8,0,0,0
low_left,8,4,3,6,7,14,9,19,3,3,11,4,11,3,2,15,5,2,4,1,14,7,10,6
low_outside,4,1,2,10,4,7,5,13,2,2,6,4,2,3,0,5,2,6,2,2,9,5,5,5
low_right,5,3,1,6,1,6,2,9,0,4,9,2,5,4,1,12,1,1,5,2,17,2,2,3
middle_center,9,2,0,6,1,10,2,15,4,4,2,3,7,8,1,19,6,2,9,1,18,4,1,5
middle_inside,1,1,0,1,0,1,0,3,0,2,1,0,0,1,0,3,0,0,1,1,6,0,1,1
middle_left,5,4,4,8,7,8,8,21,1,5,5,6,6,9,2,11,5,4,5,2,10,6,11,4
middle_outside,7,2,5,8,1,4,5,9,1,6,8,8,3,5,3,12,2,6,7,0,8,4,10,2
middle_right,2,2,1,4,1,6,1,10,3,2,6,4,2,4,2,13,3,0,1,2,6,0,6,3
